point_id,latitude,longitude,point_name,03-Mar-2020,10-Mar-2020,17-Mar-2020,24-Mar-2020,31-Mar-2020,02-Apr-2020,07-Apr-2020,14-Apr-2020,21-Apr-2020,28-Apr-2020,05-May-2020,12-May-2020,19-May-2020,26-May-2020
17209,73.1,80.0,Бухта Север и Диксон,12,12,12,12,17,13,13,13,11,11,10,10,10,10
16571,69.4,86.15,Дудинка,22,22,22,22,22,22,22,22,22,22,22,22,22,22
7634,69.9,44.6,кромка льда на Западе,22,22,22,22,22,22,22,22,22,22,22,22,22,22
9390,69.15,57.68,Варандей-Приразломное,20,20,21,20,20,20,20,20,21,22,22,22,22,22
10231,73.0,44.0,Штокман,22,22,22,22,22,22,22,22,22,22,22,22,22,22
7385,71.5,22.0,Окно в Европу,22,22,22,22,22,22,22,22,22,22,22,22,22,22
14587,74.6,63.9,Победа месторождение,15,14,14,14,15,15,14,14,16,16,16,14,13,16
20020,76.4,86.4,Карское - 3 (центр),21,16,15,14,14,20,15,15,16,16,16,16,16,16
25010,77.6,107.7,пролив Вилькицкого - 3,22,22,21,21,20,21,20,20,22,22,21,22,22,22
27192,74.9,116.7,Лаптевых - 4 (юг),18,15,16,16,15,16,16,15,17,15,15,14,14,14
15468,73.1,72.7,Вход в Обскую губу,12,12,17,16,15,15,15,16,9,15,16,14,12,14
13099,68.5,73.7,Новый порт,9,9,9,9,9,11,11,11,11,11,11,11,11,11
26750,76.75,116.0,Лаптевых - 1 (центр),12,13,15,15,19,19,15,15,14,14,13,15,18,22
16986,74.0,76.7,Карское - 1 (сбор каравана),19,17,16,16,16,16,17,16,16,16,16,16,22,22
16778,72.35,79.6,Лескинское м-е,12,12,14,14,12,13,13,13,11,11,10,10,10,10
10254,70.3,57.8,Карские ворота,22,22,22,22,22,20,22,22,22,22,22,22,22,22
16968,77.3,67.7,Мыс Желания,21,21,21,20,20,20,19,20,20,22,21,22,22,22
41908,71.74,-175.3,остров Врангеля,14,16,16,14,13,13,13,13,13,13,13,14,21,14
41706,70.7,170.5,Восточно-Сибирское - 1 (восток),14,16,12,12,12,13,13,14,12,14,14,15,17,15
24141,77.8,104.1,пролив Вилькицкого - восток,9,9,9,9,9,14,11,11,11,11,10,10,10,10
23056,77.7,99.5,пролив Вилькицкого - запад,14,16,16,12,12,13,13,13,13,13,12,11,11,11
14794,76.2,58.3,около Новой Земли,22,22,21,21,22,21,21,21,21,21,21,22,22,22
32611,74.4,139.0,Пролив Санникова - 1,9,9,9,9,9,11,11,11,11,11,11,11,11,11
34559,74.3,146.7,Пролив Санникова - 2,10,10,10,10,10,11,11,11,11,11,11,11,11,11
30231,74.0,128.1,устье Лены,20,19,21,22,17,18,17,17,16,20,16,16,20,16
14172,71.3,72.15,Сабетта,12,12,15,12,16,16,16,16,11,11,10,10,10,10
42797,69.1,169.4,мыс.Наглёйнын,13,13,13,13,13,13,13,11,11,11,12,12,12,12
43648,69.9,179.0,пролив Лонга,15,15,14,14,16,16,13,16,13,13,13,13,13,13
39096,73.5,169.9,Восточно-Сибирское - 3 (север),14,12,12,11,11,12,12,12,12,12,12,12,12,12
4819,64.95,40.05,Архангельск,22,22,22,22,22,22,22,22,22,22,22,22,22,22
34549,75.9,152.6,Лаптевых - 3 (восток),11,15,18,19,20,20,21,19,19,18,18,18,16,20
8086,68.37,54.6,МОТ Печора,19,19,19,19,19,22,19,19,19,19,19,19,19,22
25028,73.7,109.26,Хатангский залив,9,22,22,22,22,22,22,22,22,22,22,22,22,22
38462,72.0,159.5,Восточно-Сибирское - 2 (запад),12,12,12,12,12,13,13,14,14,14,14,15,15,18
13294,72.4,65.6,Ленинградское-Русановское,19,18,17,16,15,15,15,16,16,17,16,16,20,22
14173,71.0,73.73,терминал Утренний,12,12,15,12,16,16,13,17,11,11,11,11,11,11
22627,76.5,97.6,Таймырский залив,15,14,14,13,13,14,14,14,14,14,12,12,12,12
44734,64.2,-171.8,Берингово,16,19,15,13,18,18,12,12,12,12,12,15,15,15
44734,60.7,175.3,кромка льда на Востоке,16,19,15,13,18,18,12,12,12,12,12,15,15,15
42360,69.75,169.9,Рейд Певек,13,12,12,12,12,13,13,13,13,13,12,12,12,12
30657,75.5,131.5,Лаптевых - 2 (центр),12,12,12,13,12,13,13,13,13,13,12,19,20,21
5882,69.5,33.75,Рейд Мурманска,22,22,22,22,22,22,22,22,22,22,22,22,22,22
31950,76.7,140.8,остров Котельный,16,16,16,20,19,19,15,16,16,16,16,16,16,16
18941,74.8,84.2,Карское - 2 (прибрежный),21,21,17,16,16,20,17,17,18,17,16,20,22,22
5907,67.58,47.82,Индига,21,22,21,21,22,22,22,22,22,22,22,22,22,22
44734,65.9,-169.35,Берингов пролив,16,19,15,13,18,18,12,12,12,12,12,15,15,15
41508,55.7,164.25,Окно в Азию,10,10,10,10,10,11,11,11,11,11,11,11,11,11
